Unit: CPU minutes,sum,jobs,ec01,ec11,Fox project,StREP,NKcell,robin,nlpl,ncmm,BMI,ecdsb,Big data applications in psychiatric genetics and neuroimaging.,IN3200/IN4200 student HPC access,Gut-macro,PHAIT,highRES-UiO,UNLU,MACROCOP,CINPLA,AMCARC,Deep learning for remote sensing,ImAI,FHI Real-time modelling,ImmunoHub2.0,lcbc,Reanalyzes of Publicly Available Prostate Cancer RNA-Seq datasets,CADD,NAIC,Protists V4 metabarcoding in the deep-sea mining areas of the Clarion-Clipperton Zone,it-hjelp-ai,Integreat,PRIMA-TF,autotekst-ec,Neural activity and cognitive function,Sekulic CryoEM,MDcell,ADA,ltg_students,POLITEX,GS-AMR,JIA_cell,PCF-UiO-OUH,Run LLM on Fox,Genetiske og funksjonelle undersøkelser av svulstvev til pasienter med lymfekreft,PSI,KI-initiativ plattform,Studier av makrofager ved tykktarmskreft,Deciphering a Century-Old Puzzle: Warburg effect in Cancer Cells,DESCRYPT,NORBRUK,Cryo-EM of Transglutaminase,FREMO,highRES,Org
AtlasRegistrati,12,hcp_anat_1100599_202*,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CreateMyelinMap,255,hcp_anat_9999999_202* hcp_anat_9990006_202* ...,,,,,,,,,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CreateRibbon.sh,64,hcp_anat_1200103_201* hcp_anat_1200107_201* ...,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeDriftAndResam,2108,hcp_func2_1720911_20* hcp_func2_1771282_20* ...,,,,,,,,,,,,,,,,,,,,,,,,2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefineClones.py,57,vdj_immcantation vdj_immcantation_C,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FreeFem++-mpi,9366,FreeFEM3DSimulations FreeFEM,,,,,,,,,,9366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GenerateStructu,1,hcp_anat_1510201_202*,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GenericfMRISurf,675,hcp_func2_1680184_20* hcp_func2_1680141_20* ...,,,,,,,,,,,,,,,,,,,,,,,,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GenericfMRIVolu,18354,hcp_func1_1701172_20* hcp_func1_1731321_20* ...,,,,,,,,,,,,,,,,,,,,,,,,18354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IntensityNormal,4,hcp_func1_1630191_20* hcp_func1_1670165_20*,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isolated Web Co,26,OOD Desktop,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATLAB,1884254,OOD Matlab parcellate_1100135_2* ...,,,1365,,,,,,,1853181,,,,,,,,,,,,,,29681,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,
MATLABWebUI,51,OOD Matlab,,,40,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCR Main thread,22,hcp_func1_1711082_20* hcp_func1_1710921_20* ...,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSMAll.sh,3790,hcp_func2_1741151_20* hcp_func2_1721072_20* ...,,,,,,,,,,,,,,,,,,,,,,,,3790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MathWorksServic,48,OOD Matlab analyzeprf,,,,,,,,,,29,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneStepResampli,2702,hcp_func1_1600183_20* hcp_func1_1670146_20* ...,,,,,,,,,,,,,,,,,,,,,,,,2702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline_NODDI_,246,hcp_dwi_1200076_2024* hcp_dwi_1100108_2023* ...,,,,,,,,,,,,,,,,,,,,,,,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PostFreeSurferP,8038,hcp_anat_1100491_202* hcp_anat_1200009_201* ...,,,,,,,,,,,,,,,,,,,,,,,,8038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PreFreeSurferPi,54,hcp_anat_1100599_202* hcp_anat_1660203_202* ...,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,52933764,mc_T4_K7-8_lambda_b5 mc_T4_K7-8_lambda_b2* ...,,,7042,17391897,,3,,,,,,,36661,47409,,,,,,,,4932819,384508,1630248,,,,,,10466,,114,,,,,,,,8,,,156,,,453,,,,,28491980,,
ReApplyFixMulti,122,hcp_func2_1100601_20* hcp_func2_1100143_20* ...,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RibbonVolumeToS,125,hcp_func2_1650185_20* hcp_func2_1650190_20* ...,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SlicerApp-real,16,OOD Slicer OOD Desktop,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SubcorticalProc,1,hcp_func2_1630191_20*,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLLM::EngineCor,2633,fk_dev fkdev ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2626,,,,7,,,,
VLLM::Worker_TP,179641,fk_dev fkdev ...,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179592,,,,42,,,,
Xphate,54,pht.spk.ln.18-16.16S* pht.spk.ln.18-16.18S*,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,
Xvnc,1,OOD Matlab,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appinit,376,umi2,,,,,,,,,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bakta,95,nf-NFCORE_BACASS_BAC*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,
bamCoverage,3,bigwig_cpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
bootstrap,296,interactive,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bpnet-predict,221,nf-TEST_(2) nf-TEST_(8) ...,,,,,,,,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bpnet-train,7967,nf-TRAIN_(9) nf-TRAIN_(6) ...,,,,,,,,7967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cargo,5,interactive,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charmrun,6,cb2no RvDreal,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkv,6142,8ac26bfb-3471-4fd1-8* 7c11466a-a70a-40aa-9*,,,,,,,,,6142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classify,17,kraken2_kari_corent kraken2_kari_corent_*,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code,5,OOD Desktop,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code-c9d7799091,7,interactive_gpu_sess*,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
computeMatrix,40,metagene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
diamond,37,8ac26bfb-3471-4fd1-8*,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dmrcc,1,DZ+0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
du,11,storage_usage_check,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eval_linear_mul,443,interactive,,,,,,,,,,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fastp,45,8ac26bfb-3471-4fd1-8* nf-NFCORE_BACASS_BAC*,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,
fetch_databases,10,af3db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
find,9,refresh_timestamps,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finemo,665,nf-FINEMO_(7) nf-FINEMO_(8) ...,,,,,,,,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
firefox,69,OOD Desktop OOD Matlab,,,2,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fish,3,PIP_MEM4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flye,111,nf-NFCORE_BACASS_BAC* ONT_assembly,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,
gambit,1517066,TISK-diver-single TISK-diver-four,,,,,,,,,,,,,,,,,,,,,,1517066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gamscmex.out,27,6e7435ec-ff39-45c1-9* 8ce9f5f6-e5bc-4cb0-9* ...,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
gmake,323,bash,,,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gmx,513244,abfe_ligand abfe_complex,,,,,,,,,,,,,,,,,,,,,,,,,,513244,,,,,,,,,,,,,,,,,,,,,,,,,,,
gmx_MMPBSA,438,decomp_dasatinib mmgpsa_%a ...,,,,,,,,,,,,,,,,,,,,,,,,,,438,,,,,,,,,,,,,,,,,,,,,,,,,,,
gunzip,8,taxp1 taxp2,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hcp_fix_multi_r,3166,hcp_func1_1771282_20* hcp_func1_1771102_20* ...,,,,,,,,,,,,,,,,,,,,,,,,3166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hmmsearch,286,8ac26bfb-3471-4fd1-8*,,,,,,,,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immune-ml,106670,a2_linear a2_embed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106670,,,,,,,,,,,,,,,,,,,,,,
install_cp2k_to,327,interactive,,,,,,,,,,,,,,,,,,,,,,,,,,327,,,,,,,,,,,,,,,,,,,,,,,,,,,
install_libint.,10,interactive,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
install_stage3.,11,interactive,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
java,1258410,interactive bacass ...,135,,1098335,,,,,57,152263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6280,,,,,1338,,,,,,,
jupyter-lab,29539,OOD Jupyter bash,,,191,,,,,,,14588,,,,,,,,5230,,,,,,,,,,,,,,,,,,,456,139,,8922,,13,,,,,,,,,,,
jupyter-noteboo,2958,OOD Jupyter Notebook OOD Desktop,,,78,,,,,2,,2875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
lmp,1192483,adhesion adh_2D_R30_0.5_10 ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192483,,,,,,,,,,,,,,,,,,
