Unit: GPU minutes,count,sum,ec01,Fox project,robin,nlpl,ncmm,ecdsb,IN3200/IN4200 student HPC access,Gut-macro,UNLU,CINPLA,Deep learning for remote sensing,ImAI,ImmunoHub2.0,lcbc,Reanalyzes of Publicly Available Prostate Cancer RNA-Seq datasets,NAIC,it-hjelp-ai,autotekst-ec,Sekulic CryoEM,ltg_students,POLITEX,JIA_cell,Run LLM on Fox,KI-initiativ plattform,Studier av makrofager ved tykktarmskreft,NORBRUK
3OJV.slurm,6,32,,32,,,,,,,,,,,,,,,,,,,,,,,,
3e33d386*,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
47b812b3*,295,5,,,,,,,,5,,,,,,,,,,,,,,,,,,
5550,9,663,,,,,,,,,,,,,,,,,,,,663,,,,,,
56a458ad*,166,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
7YSH*,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7YSH.slurm,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
89f01c1e*,155,2,,,,,,,,2,,,,,,,,,,,,,,,,,,
AI*,135,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Atmos*,6,41698,,,,,,,,,,,41698,,,,,,,,,,,,,,,
BatLat,39,6693,,6693,,,,,,,,,,,,,,,,,,,,,,,,
BindCraft,7,348,,,,,,,,,,,,,,,348,,,,,,,,,,,
DINO*,30,1643,,,,,,1643,,,,,,,,,,,,,,,,,,,,
DINOv2*,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
EE*,62,157133,,,,157133,,,,,,,,,,,,,,,,,,,,,,
EEdp,4,212,,,,212,,,,,,,,,,,,,,,,,,,,,,
EEtrain,31,2062,,,,2062,,,,,,,,,,,,,,,,,,,,,,
EEtrain*,4,364,,,,364,,,,,,,,,,,,,,,,,,,,,,
EEtrainOI,3,47879,,,,47879,,,,,,,,,,,,,,,,,,,,,,
Eval*,48,196,,148,,,,,,,,,48,,,,,,,,,,,,,,,
FGFR1*,1,4,,4,,,,,,,,,,,,,,,,,,,,,,,,
FGFR1.slurm,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
FineTune*,156,31799,,31799,,,,,,,,,,,,,,,,,,,,,,,,
HPO*,81,6392,,6392,,,,,,,,,,,,,,,,,,,,,,,,
IN100*,9,246,,,,,,246,,,,,,,,,,,,,,,,,,,,
IN5550*,35,2459,,,,,,,,,,,,,,,,,,,,2459,,,,,,
Mandible*,1,0,,,,,,,,,,,,0,,,,,,,,,,,,,,
MedSeg,18,134561,,134561,,,,,,,,,,,,,,,,,,,,,,,,
NorBert*,27,471,,,,471,,,,,,,,,,,,,,,,,,,,,,
OOD Desktop,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
OOD Jupyter,249,147605,,128,,250,,132500,,,,770,,,,,,,,,,13865,,20,71,,,
OOD Jupyter Notebook,7,408,,,,,,408,,,,,,,,,,,,,,,,,,,,
OOD Relion,44,17535,,,,,,,,,,,,,,,,,,,17535,,,,,,,
OOD Slicer,1,8,8,,,,,,,,,,,,,,,,,,,,,,,,,
PDL1.slurm,2,5,,5,,,,,,,,,,,,,,,,,,,,,,,,
PME*,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
RL*,28,135,,,135,,,,,,,,,,,,,,,,,,,,,,,
RN18*,61,1743,,,,,,1743,,,,,,,,,,,,,,,,,,,,
RN50*,27,6130,,,,,,6130,,,,,,,,,,,,,,,,,,,,
TabLLM*,234,24772,,24772,,,,,,,,,,,,,,,,,,,,,,,,
Task*,2,171,,,,,,,,,,,,,,,,,,,,171,,,,,,
Testsol3r,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
YOLO*,51,250836,,250836,,,,,,,,,,,,,,,,,,,,,,,,
abreturn*,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,
alphafold,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
b1*,2,117,,,,,,,,,,,,,,,,,,,,117,,,,,,
b2,2,382,,,,,,,,,,,,,,,,,,,,382,,,,,,
