JobName/m30,Duration,CpuAvgPct,CpuPeakPct,RequestedCpus,Cmd
OOD Jupyter,0d4h10m,8,33,16,"jupyter-lab,python"
OOD Jupyter,0d3h30m,82,1524,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d8h50m,77,709,32,"jupyter-lab,python"
OOD Jupyter,0d8h55m,104,687,32,"jupyter-lab,python"
OOD Jupyter,0d4h40m,3,87,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d5h40m,10,266,16,"jupyter-lab,python"
OOD Jupyter,0d2h15m,66,502,24,"jupyter-lab,python"
OOD Jupyter,0d3h20m,2,13,8,"jupyter-lab,python"
OOD Matlab,0d2h55m,205,2547,16,"MATLAB,MATLABWebUI,MATLABWindow,Xvnc"
OOD Matlab,0d2h55m,1033,1516,16,"MATLAB,MATLABWebUI,Xvnc"
OOD Jupyter,0d2h10m,1,2,32,jupyter-lab
OOD Jupyter,0d2h35m,129,1332,24,"jupyter-lab,python"
OOD Matlab,0d2h55m,83,1439,16,"MATLAB,MATLABWebUI,Xvnc"
OOD Jupyter,0d4h55m,74,104,24,"jupyter-lab,python"
OOD Jupyter,0d2h30m,607,646,24,python
OOD Code Server,1d23h50m,833,7945,32,"node,ps.sh,python,squashfuse_ll"
OOD Jupyter,0d7h45m,1,51,8,pt_main_thread
OOD Jupyter,0d8h0m,154,1451,24,"jupyter-lab,python"
OOD Jupyter,0d4h55m,2,21,24,python
OOD Jupyter,0d2h35m,1,21,32,jupyter-lab
OOD Jupyter,0d2h50m,2,20,32,"jupyter-lab,python"
OOD Jupyter,0d3h15m,4,158,16,fairseq-interac
OOD Matlab,1d23h55m,406,2940,32,"MATLAB,MATLABWebUI,Xvnc,xfwm4"
OOD Matlab,0d17h55m,902,2885,32,MATLAB
OOD Matlab,0d17h55m,917,2947,32,"MATLAB,MATLABWebUI"
OOD Jupyter,0d2h50m,3,31,32,"jupyter-lab,python"
OOD Jupyter,0d3h50m,2,24,16,python
OOD Jupyter,0d2h25m,633,665,24,python
OOD Jupyter,0d2h10m,234,885,24,pt_main_thread
OOD Jupyter,0d5h35m,82,84,24,"python,wandb-core"
OOD Jupyter,0d3h50m,624,694,24,"python,wandb-core"
OOD Code Server,1d23h55m,805,24053,32,"node,ps.sh,python,squashfuse_ll"
OOD Jupyter,0d5h40m,217,6250,24,"jupyter-lab,python"
OOD Jupyter,0d2h45m,131,1575,16,"jupyter-lab,python"
OOD Jupyter,0d2h30m,2171,33004,24,"pt_main_thread,watch"
OOD Matlab,0d3h55m,16,364,16,"MATLAB,MATLABWebUI,Xvnc"
OOD Jupyter,0d6h25m,33,596,32,"jupyter-lab,python"
OOD Jupyter,0d3h10m,8,71,24,pt_main_thread
OOD Matlab,0d2h55m,488,1219,16,"MATLAB,MATLABWebUI,MATLABWindow,Xvnc"
OOD Jupyter,0d5h30m,2,22,32,python
OOD Jupyter,0d8h50m,123,4488,32,"jupyter-lab,python,python <defunct>"
OOD Jupyter,0d4h0m,252,2995,16,"jupyter-lab,python"
OOD Jupyter,0d5h10m,1,1,8,jupyter-lab
OOD Jupyter,0d4h15m,41,1212,16,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d3h35m,4,107,8,pt_main_thread
OOD Jupyter,0d3h55m,4,98,8,pt_main_thread
OOD Jupyter,0d3h55m,404,509,24,"jupyter-lab,python"
OOD Jupyter,0d7h45m,13,619,16,python
OOD Jupyter,0d8h40m,45,376,32,"jupyter-lab,python"
OOD Jupyter,0d2h35m,94,1131,16,"jupyter-lab,python"
OOD Jupyter,0d2h55m,152,879,32,"jupyter-lab,python"
OOD Jupyter,0d7h45m,85,1453,16,"jupyter-lab,python"
OOD Jupyter,0d2h40m,411,2393,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d7h30m,178,4358,16,"jupyter-lab,python"
OOD Jupyter,0d7h50m,22,102,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d3h25m,3,124,8,pt_main_thread
OOD Jupyter,0d3h30m,128,2476,32,"jupyter-lab,python"
OOD Jupyter,0d3h25m,97,174,24,pt_main_thread
OOD Jupyter,0d2h50m,622,1597,24,"pt_main_thread,watch"
OOD Jupyter,0d4h45m,7,364,8,pt_main_thread
OOD Jupyter,0d7h45m,260,6233,16,"jupyter-lab,python"
OOD Jupyter,0d7h49m,33,1445,16,python
OOD Jupyter,0d7h45m,127,2450,16,"jupyter-lab,python"
OOD Jupyter,0d9h50m,67,841,32,python
OOD Jupyter,0d5h35m,2,32,32,"jupyter-lab,python"
OOD Jupyter,0d4h40m,2,32,32,"jupyter-lab,python"
OOD Jupyter,0d3h35m,142,1004,32,"jupyter-lab,python"
OOD Jupyter,0d7h29m,41,1432,16,python
OOD Jupyter,0d7h50m,9,302,16,"jupyter-lab,python"
OOD Jupyter,0d5h50m,20,689,32,python
OOD Jupyter,0d7h50m,186,1527,32,"jupyter-lab,python"
OOD Jupyter,0d2h45m,21,286,24,"jupyter-lab,python"
